machine_id,timestamp,oxygen_ppm,gas_flow_rate_l_min,build_plate_temperature_deg_c
M001,2025-02-09 14:18:26.028030,142.0,7.73,199.2
M001,2025-02-09 14:33:26.028030,150.0,,201.0
M001,2025-02-09 14:48:26.028030,154.0,7.23,201.8
M001,2025-02-09 15:03:26.028030,159.0,7.65,198.6
M001,2025-02-09 15:18:26.028030,153.0,7.64,198.8
M001,2025-02-09 15:33:26.028030,142.0,7.51,202.8
M001,2025-02-09 15:48:26.028030,,7.61,202.4
M001,2025-02-09 16:03:26.028030,152.0,7.45,198.1
M001,2025-02-09 16:18:26.028030,,7.53,196.7
M001,2025-02-09 16:33:26.028030,149.0,7.75,
M001,2025-02-09 16:48:26.028030,148.0,7.68,198.3
M001,2025-02-09 17:03:26.028030,,7.29,201.1
M001,2025-02-09 17:18:26.028030,154.0,7.66,199.8
M001,2025-02-09 17:33:26.028030,159.0,7.53,201.9
M001,2025-02-09 17:48:26.028030,148.0,7.86,201.7
M001,2025-02-09 18:03:26.028030,145.0,7.65,199.2
M001,2025-02-09 18:18:26.028030,150.0,7.66,200.1
M000,2025-02-09 18:31:48.976864,62.0,7.48,110.3
M001,2025-02-09 18:33:26.028030,150.0,7.51,200.0
M000,2025-02-09 18:46:48.976864,63.0,7.49,109.8
M001,2025-02-09 18:48:26.028030,,7.57,200.7
M000,2025-02-09 19:01:48.976864,57.0,6.99,109.7
M001,2025-02-09 19:03:26.028030,142.0,7.49,200.3
M000,2025-02-09 19:16:48.976864,,,109.3
M001,2025-02-09 19:18:26.028030,146.0,7.41,202.3
M000,2025-02-09 19:31:48.976864,61.0,7.56,108.0
M001,2025-02-09 19:33:26.028030,152.0,,199.5
M000,2025-02-09 19:46:48.976864,58.0,,108.3
M001,2025-02-09 19:48:26.028030,157.0,8.05,201.2
M000,2025-02-09 20:01:48.976864,60.0,7.45,108.9
M001,2025-02-09 20:03:26.028030,149.0,7.39,201.8
M000,2025-02-09 20:16:48.976864,52.0,7.01,108.7
M001,2025-02-09 20:18:26.028030,144.0,7.94,200.1
M000,2025-02-09 20:31:48.976864,63.0,7.16,109.6
M001,2025-02-09 20:33:26.028030,144.0,7.73,202.0
M000,2025-02-09 20:46:48.976864,60.0,,111.8
M001,2025-02-09 20:48:26.028030,155.0,,200.1
M000,2025-02-09 21:01:48.976864,67.0,7.7,108.9
M001,2025-02-09 21:03:26.028030,155.0,7.73,201.6
M000,2025-02-09 21:16:48.976864,61.0,7.4,113.9
M001,2025-02-09 21:18:26.028030,146.0,7.5,200.0
M000,2025-02-09 21:31:48.976864,56.0,7.54,107.5
M001,2025-02-09 21:33:26.028030,,7.36,199.3
M000,2025-02-09 21:46:48.976864,56.0,,110.2
M001,2025-02-09 21:48:26.028030,157.0,7.56,201.7
M002,2025-02-09 21:59:58.539147,131.0,,300.2
M000,2025-02-09 22:01:48.976864,62.0,7.45,111.4
M001,2025-02-09 22:03:26.028030,,7.32,
M002,2025-02-09 22:14:58.539147,124.0,5.55,300.2
M000,2025-02-09 22:16:48.976864,61.0,7.67,109.0
M001,2025-02-09 22:18:26.028030,154.0,7.5,202.1
M002,2025-02-09 22:29:58.539147,134.0,5.54,300.7
M000,2025-02-09 22:31:48.976864,57.0,7.47,111.1
M001,2025-02-09 22:33:26.028030,149.0,7.72,200.2
M002,2025-02-09 22:44:58.539147,134.0,5.52,301.6
M000,2025-02-09 22:46:48.976864,,7.34,109.1
M001,2025-02-09 22:48:26.028030,149.0,8.0,201.6
M002,2025-02-09 22:59:58.539147,138.0,5.11,299.8
M000,2025-02-09 23:01:48.976864,62.0,7.45,109.8
M001,2025-02-09 23:03:26.028030,156.0,7.5,202.2
M002,2025-02-09 23:14:58.539147,139.0,,298.0
M000,2025-02-09 23:16:48.976864,59.0,7.18,111.2
M001,2025-02-09 23:18:26.028030,146.0,7.74,199.5
M002,2025-02-09 23:29:58.539147,133.0,5.74,299.4
