part_number,build_id,volume_mm3,x_position_mm,y_position_mm,z_position_mm,geometry,relative_density
0,B00342,6021421.0,-76.03,-24.82,262.09,lattice,91.69
1,B00342,3447488.0,171.87,-123.01,10.89,lattice,97.62
2,B00342,2856402.0,-162.56,177.87,79.51,tensile_bar,96.74
3,B00342,2280795.0,-142.24,-69.81,23.98,tensile_bar,98.0
4,B00342,7023322.0,133.03,144.22,232.74,lattice,96.76
0,B00343,,204.71,-154.94,287.44,tensile_bar,98.35
1,B00343,4612682.0,,-143.86,40.45,lattice,
2,B00343,3857569.0,-150.39,-107.91,101.14,lattice,99.02
3,B00343,1311035.0,100.47,-152.86,156.52,cube,98.4
4,B00343,4338126.0,-206.28,-61.32,144.73,tensile_bar,98.36
0,B00344,8667390.0,-240.42,-34.01,11.55,bracket,98.33
1,B00344,7835207.0,-2.81,207.42,74.1,bracket,97.91
2,B00344,631976.0,126.86,-123.31,313.28,bracket,97.37
3,B00344,3859252.0,,-47.26,344.43,lattice,98.22
0,B00345,3072411.0,72.25,-1.92,,tensile_bar,98.37
1,B00345,5207830.0,113.14,-112.85,61.35,lattice,98.18
2,B00345,1790524.0,191.43,-188.64,165.73,cube,
3,B00345,4442684.0,-107.3,186.09,211.59,tensile_bar,98.63
0,B00346,3732251.0,-128.3,199.88,203.29,cube,97.41
1,B00346,6322720.0,52.15,215.9,79.56,lattice,97.53
2,B00346,9089523.0,122.76,-96.56,79.12,cube,97.48
3,B00346,1967869.0,25.92,57.8,62.72,tensile_bar,96.72
0,B00347,661774.0,-77.4,91.49,268.29,tensile_bar,97.84
1,B00347,2424234.0,-45.4,-111.87,304.97,tensile_bar,99.57
2,B00347,9128012.0,,172.6,103.49,lattice,98.26
3,B00347,1104359.0,-188.92,-44.83,82.12,tensile_bar,98.62
0,B00348,4587331.0,-42.73,197.58,291.13,lattice,97.12
1,B00348,2525545.0,135.45,-231.18,,cube,97.24
2,B00348,7500816.0,41.22,-84.02,298.09,lattice,97.18
3,B00348,2546194.0,-84.66,84.67,164.44,tensile_bar,97.69
4,B00348,2135897.0,222.66,-212.78,313.13,tensile_bar,96.85
0,B00349,1722210.0,115.55,-200.07,57.9,tensile_bar,98.18
1,B00349,1487502.0,44.48,-248.26,221.39,lattice,97.11
2,B00349,6618346.0,103.13,-119.48,137.13,cube,97.78
3,B00349,930238.0,-14.72,10.76,269.62,tensile_bar,99.23
4,B00349,,-119.57,,238.49,tensile_bar,98.22
0,B00350,,-125.18,170.3,139.32,cube,98.5
1,B00350,6025278.0,-180.4,173.96,143.2,bracket,98.92
2,B00350,8062715.0,-181.89,-235.71,312.26,lattice,98.23
3,B00350,,-163.86,2.5,98.93,bracket,97.93
0,B00351,5249881.0,211.38,243.32,344.71,bracket,98.68
1,B00351,2870323.0,-77.56,-151.04,134.91,lattice,98.37
2,B00351,3071081.0,-230.98,-148.54,265.07,lattice,
3,B00351,1800640.0,85.82,109.23,52.11,bracket,92.11
